date,service,ridership
27/3/2024,komuter,36155
28/3/2024,komuter,18698
29/3/2024,komuter,35378
30/3/2024,komuter,21794
31/3/2024,komuter,20319
1/4/2024,komuter,34659
2/4/2024,komuter,34672
3/4/2024,komuter,35893
4/4/2024,komuter,36598
5/4/2024,komuter,40197
6/4/2024,komuter,22455
7/4/2024,komuter,20043
8/4/2024,komuter,29330
9/4/2024,komuter,29376
10/4/2024,komuter,36527
11/4/2024,komuter,40924
12/4/2024,komuter,30960
13/4/2024,komuter,23925
14/4/2024,komuter,27623
15/4/2024,komuter,34804
16/4/2024,komuter,36220
17/4/2024,komuter,35694
18/4/2024,komuter,36941
19/4/2024,komuter,39803
20/4/2024,komuter,24505
21/4/2024,komuter,25411
22/4/2024,komuter,35791
23/4/2024,komuter,34845
24/4/2024,komuter,34595
25/4/2024,komuter,35981
26/4/2024,komuter,41253
27/4/2024,komuter,27535
28/4/2024,komuter,25912
29/4/2024,komuter,36506
30/4/2024,komuter,36874
1/5/2024,komuter,25261
2/5/2024,komuter,37180
3/5/2024,komuter,40174
4/5/2024,komuter,26807
5/5/2024,komuter,26645
6/5/2024,komuter,36384
7/5/2024,komuter,36179
8/5/2024,komuter,36008
9/5/2024,komuter,36321
10/5/2024,komuter,41117
11/5/2024,komuter,26162
12/5/2024,komuter,27025
13/5/2024,komuter,36130
14/5/2024,komuter,35236
15/5/2024,komuter,35323
16/5/2024,komuter,35551
17/5/2024,komuter,37370
18/5/2024,komuter,23769
19/5/2024,komuter,24413
20/5/2024,komuter,35095
21/5/2024,komuter,35923
22/5/2024,komuter,20620
23/5/2024,komuter,37121
24/5/2024,komuter,41567
25/5/2024,komuter,30648
26/5/2024,komuter,29347
27/5/2024,komuter,39589
28/5/2024,komuter,40144
29/5/2024,komuter,42924
30/5/2024,komuter,42957
31/5/2024,komuter,41565
1/6/2024,komuter,35761
2/6/2024,komuter,32746
3/6/2024,komuter,28463
4/6/2024,komuter,37473
5/6/2024,komuter,34822
6/6/2024,komuter,33736
7/6/2024,komuter,35309
8/6/2024,komuter,23991
9/6/2024,komuter,24642
10/6/2024,komuter,35125
11/6/2024,komuter,35114
12/6/2024,komuter,36534
13/6/2024,komuter,39719
14/6/2024,komuter,46039
15/6/2024,komuter,29940
16/6/2024,komuter,28151
17/6/2024,komuter,32155
18/6/2024,komuter,41650
19/6/2024,komuter,38775
20/6/2024,komuter,35464
21/6/2024,komuter,35417
22/6/2024,komuter,23276
23/6/2024,komuter,24169
24/6/2024,komuter,34459
25/6/2024,komuter,34558
26/6/2024,komuter,34703
27/6/2024,komuter,34975
28/6/2024,komuter,36016
29/6/2024,komuter,24978
30/6/2024,komuter,24205
1/7/2024,komuter,35332
2/7/2024,komuter,35327
3/7/2024,komuter,35601
4/7/2024,komuter,36225
5/7/2024,komuter,43327
6/7/2024,komuter,29916
7/7/2024,komuter,28447
8/7/2024,komuter,26568
9/7/2024,komuter,37839
10/7/2024,komuter,36612
11/7/2024,komuter,36971
12/7/2024,komuter,37194
13/7/2024,komuter,26261
14/7/2024,komuter,26194
15/7/2024,komuter,36153
16/7/2024,komuter,36540
17/7/2024,komuter,36372
18/7/2024,komuter,35545
19/7/2024,komuter,37244
20/7/2024,komuter,25282
21/7/2024,komuter,22770
22/7/2024,komuter,35421
23/7/2024,komuter,35182
24/7/2024,komuter,34667
25/7/2024,komuter,35021
26/7/2024,komuter,37808
27/7/2024,komuter,25084
28/7/2024,komuter,24195
29/7/2024,komuter,34981
30/7/2024,komuter,35081
31/7/2024,komuter,35178
1/8/2024,komuter,35905
2/8/2024,komuter,38141
3/8/2024,komuter,25463
4/8/2024,komuter,24803
5/8/2024,komuter,35650
6/8/2024,komuter,35423
7/8/2024,komuter,35801
8/8/2024,komuter,36776
9/8/2024,komuter,39065
10/8/2024,komuter,26184
11/8/2024,komuter,24757
12/8/2024,komuter,37079
13/8/2024,komuter,35702
14/8/2024,komuter,35578
15/8/2024,komuter,35132
16/8/2024,komuter,37572
17/8/2024,komuter,24493
18/8/2024,komuter,23912
19/8/2024,komuter,34633
20/8/2024,komuter,34288
21/8/2024,komuter,34442
22/8/2024,komuter,33709
23/8/2024,komuter,36567
24/8/2024,komuter,24160
25/8/2024,komuter,23124
26/8/2024,komuter,33975
27/8/2024,komuter,33358
28/8/2024,komuter,33500
29/8/2024,komuter,33830
30/8/2024,komuter,39751
31/8/2024,komuter,29795
1/9/2024,komuter,25319
2/9/2024,komuter,34078
3/9/2024,komuter,34201
4/9/2024,komuter,33992
5/9/2024,komuter,33678
6/9/2024,komuter,35649
7/9/2024,komuter,23273
8/9/2024,komuter,24171
9/9/2024,komuter,34756
10/9/2024,komuter,34384
11/9/2024,komuter,34657
12/9/2024,komuter,35577
13/9/2024,komuter,42637
14/9/2024,komuter,31136
15/9/2024,komuter,29446
16/9/2024,komuter,29856
17/9/2024,komuter,28518
18/9/2024,komuter,38463
19/9/2024,komuter,37280
20/9/2024,komuter,35939
21/9/2024,komuter,22993
22/9/2024,komuter,22611
23/9/2024,komuter,33720
24/9/2024,komuter,34215
25/9/2024,komuter,34631
26/9/2024,komuter,34757
27/9/2024,komuter,36407
28/9/2024,komuter,23748
29/9/2024,komuter,22269
30/9/2024,komuter,34155
1/10/2024,komuter,34761
2/10/2024,komuter,35562
3/10/2024,komuter,36383
4/10/2024,komuter,40793
5/10/2024,komuter,27236
6/10/2024,komuter,27368
7/10/2024,komuter,35321
8/10/2024,komuter,35635
9/10/2024,komuter,35027
10/10/2024,komuter,35995
11/10/2024,komuter,40408
12/10/2024,komuter,26953
13/10/2024,komuter,27148
14/10/2024,komuter,35225
15/10/2024,komuter,33057
16/10/2024,komuter,34836
17/10/2024,komuter,36142
18/10/2024,komuter,40012
19/10/2024,komuter,25024
20/10/2024,komuter,23976
21/10/2024,komuter,33908
22/10/2024,komuter,33533
23/10/2024,komuter,33765
24/10/2024,komuter,34339
25/10/2024,komuter,36794
26/10/2024,komuter,25018
27/10/2024,komuter,24796
28/10/2024,komuter,34366
29/10/2024,komuter,38326
30/10/2024,komuter,41762
31/10/2024,komuter,34286
1/11/2024,komuter,32498
2/11/2024,komuter,26696
3/11/2024,komuter,34197
4/11/2024,komuter,34114
5/11/2024,komuter,34655
6/11/2024,komuter,33141
7/11/2024,komuter,34334
8/11/2024,komuter,37061
9/11/2024,komuter,25376
10/11/2024,komuter,24627
11/11/2024,komuter,34679
12/11/2024,komuter,33208
13/11/2024,komuter,34022
14/11/2024,komuter,37508
15/11/2024,komuter,40896
16/11/2024,komuter,25873
17/11/2024,komuter,23945
18/11/2024,komuter,34327
19/11/2024,komuter,33800
20/11/2024,komuter,35905
21/11/2024,komuter,35181
22/11/2024,komuter,39810
23/11/2024,komuter,26226
24/11/2024,komuter,25845
25/11/2024,komuter,35918
26/11/2024,komuter,35248
27/11/2024,komuter,35382
28/11/2024,komuter,36383
29/11/2024,komuter,39887
30/11/2024,komuter,27800
1/12/2024,komuter,25501
2/12/2024,komuter,35063
3/12/2024,komuter,34454
4/12/2024,komuter,37918
5/12/2024,komuter,34940
6/12/2024,komuter,37045
7/12/2024,komuter,26507
8/12/2024,komuter,27402
9/12/2024,komuter,35299
10/12/2024,komuter,35071
11/12/2024,komuter,33322
12/12/2024,komuter,34310
13/12/2024,komuter,35244
14/12/2024,komuter,24253
15/12/2024,komuter,22896
16/12/2024,komuter,35090
17/12/2024,komuter,33447
18/12/2024,komuter,34263
19/12/2024,komuter,35459
20/12/2024,komuter,41385
21/12/2024,komuter,28849
22/12/2024,komuter,27031
23/12/2024,komuter,36101
24/12/2024,komuter,35414
25/12/2024,komuter,26343
26/12/2024,komuter,32935
27/12/2024,komuter,33111
28/12/2024,komuter,25074
29/12/2024,komuter,25685
30/12/2024,komuter,31477
31/12/2024,komuter,34476
1/1/2025,komuter,31969
2/1/2025,komuter,33463
3/1/2025,komuter,33436
4/1/2025,komuter,20173
5/1/2025,komuter,20334
6/1/2025,komuter,33743
7/1/2025,komuter,32423
8/1/2025,komuter,33513
9/1/2025,komuter,34460
10/1/2025,komuter,36280
11/1/2025,komuter,22722
12/1/2025,komuter,22942
13/1/2025,komuter,34487
14/1/2025,komuter,33911
15/1/2025,komuter,33897
16/1/2025,komuter,34334
17/1/2025,komuter,37414
18/1/2025,komuter,23694
19/1/2025,komuter,22712
20/1/2025,komuter,31924
21/1/2025,komuter,31378
22/1/2025,komuter,31744
23/1/2025,komuter,32690
24/1/2025,komuter,35686
25/1/2025,komuter,21512
26/1/2025,komuter,19577
27/1/2025,komuter,32655
28/1/2025,komuter,33527
29/1/2025,komuter,35107
30/1/2025,komuter,29419
31/1/2025,komuter,27128
1/2/2025,komuter,21452
2/2/2025,komuter,23781
3/2/2025,komuter,31372
4/2/2025,komuter,31168
5/2/2025,komuter,31375
6/2/2025,komuter,32412
7/2/2025,komuter,33270
8/2/2025,komuter,25528
9/2/2025,komuter,33451
10/2/2025,komuter,77124
11/2/2025,komuter,92398
12/2/2025,komuter,41181
13/2/2025,komuter,34267
14/2/2025,komuter,35927
15/2/2025,komuter,25658
16/2/2025,komuter,23846
17/2/2025,komuter,30229
18/2/2025,komuter,30510
19/2/2025,komuter,31691
20/2/2025,komuter,31535
21/2/2025,komuter,31960
22/2/2025,komuter,20733
23/2/2025,komuter,20119
24/2/2025,komuter,30404
25/2/2025,komuter,29985
26/2/2025,komuter,29340
27/2/2025,komuter,30709
28/2/2025,komuter,34954
1/3/2025,komuter,19039
2/3/2025,komuter,15293
3/3/2025,komuter,28664
4/3/2025,komuter,28189
5/3/2025,komuter,28106
6/3/2025,komuter,28020
7/3/2025,komuter,31660
8/3/2025,komuter,14080
9/3/2025,komuter,15691
10/3/2025,komuter,27966
11/3/2025,komuter,27554
12/3/2025,komuter,25976
13/3/2025,komuter,27025
14/3/2025,komuter,34598
15/3/2025,komuter,16752
16/3/2025,komuter,16199
17/3/2025,komuter,26186
18/3/2025,komuter,13671
19/3/2025,komuter,28303
20/3/2025,komuter,28195
21/3/2025,komuter,29768
22/3/2025,komuter,16534
23/3/2025,komuter,14820
24/3/2025,komuter,27836
25/3/2025,komuter,28080
26/3/2025,komuter,28769
27/3/2025,komuter,27875
28/3/2025,komuter,30057
29/3/2025,komuter,19132
30/3/2025,komuter,18366
31/3/2025,komuter,24968
1/4/2025,komuter,25373
2/4/2025,komuter,24365
3/4/2025,komuter,21937
4/4/2025,komuter,22804
5/4/2025,komuter,18638
6/4/2025,komuter,22518
7/4/2025,komuter,29882
8/4/2025,komuter,30186
9/4/2025,komuter,30050
10/4/2025,komuter,30563
